Table S11. Cancer patients evaluated in this study by tumor type and stage.,,,
,,,
Tumor Type,AJCC Stage,Patients (n),Proportion of cases (%)
Breast,I,32,15
,II,114,55
,III,63,30
,I-III,209,--
Colorectum,I,77,20
,II,191,49
,III,120,31
,I-III,388,--
Esophagus,I,5,11
,II,29,64
,III,11,24
,I-III,45,--
Liver,I,5,11
,II,19,43
,III,20,45
,I-III,44,--
Lung,I,46,44
,II,27,26
,III,31,30
,I-III,104,--
Ovary,I,9,17
,II,4,7
,III,41,76
,I-III,54,--
Pancreas,I,4,4
,II,83,89
,III,6,6
,I-III,93,--
Stomach,I,21,31
,II,30,44
,III,17,25
,I-III,68,--
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
